n_neighbors,min_cluster_size,min_samples,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,8,,10,3,10.0,0.2944,0.0,0.3575,0.505,0.2903,0.9354,0.3252,0.008
10,8,,15,3,15.0,0.2944,0.0,0.3568,0.53,0.2973,0.9581,0.2844,0.0095
10,8,,20,3,20.0,0.2944,0.0,0.3675,0.56,0.3079,0.9689,0.2528,0.0088
10,8,,25,3,25.0,0.2944,0.0,0.3712,0.5853,0.319,0.9754,0.2092,0.0008
10,8,,30,3,30.0,0.2944,0.0,0.3735,0.6067,0.3183,0.9797,0.2024,0.0195
10,15,,10,3,10.0,0.3036,0.0,0.355,0.5483,0.2949,0.9359,0.313,0.0333
10,15,,15,3,15.0,0.3036,0.0,0.3793,0.5411,0.2931,0.9591,0.2799,0.0102
10,15,,20,3,19.7,0.3036,0.0,0.3898,0.5827,0.3114,0.9691,0.2578,0.0085
10,15,,25,3,24.7,0.3036,0.0,0.3961,0.6151,0.3265,0.9756,0.2411,0.0063
10,15,,30,3,29.7,0.3036,0.0,0.4113,0.6355,0.332,0.9799,0.2032,0.0112
10,25,,10,3,9.7,0.2895,0.0,0.3584,0.5448,0.2827,0.9371,0.3458,0.0151
10,25,,15,3,14.7,0.2895,0.0,0.3913,0.5948,0.3119,0.9595,0.2815,0.0027
10,25,,20,3,19.7,0.2895,0.0,0.4,0.6143,0.3152,0.97,0.2445,0.0099
10,25,,25,3,24.7,0.2895,0.0,0.4257,0.6506,0.3278,0.9763,0.2495,0.0186
10,25,,30,3,29.7,0.2895,0.0,0.4399,0.6646,0.3334,0.9806,0.2409,0.0172
10,40,,10,3,10.0,0.29,0.0,0.3744,0.5883,0.3263,0.9392,0.2935,0.0303
10,40,,15,3,14.7,0.29,0.0,0.4012,0.6236,0.3324,0.9597,0.2708,0.0349
10,40,,20,3,19.7,0.29,0.0,0.4373,0.6516,0.3345,0.9708,0.2383,0.0334
10,40,,25,3,24.3,0.29,0.0,0.4644,0.6589,0.3326,0.9767,0.2656,0.084
10,40,,30,3,29.3,0.29,0.0,0.5017,0.6789,0.3483,0.9809,0.2853,0.0392
15,8,,10,3,10.0,0.3269,0.0,0.3511,0.5433,0.3105,0.9352,0.3265,0.0031
15,8,,15,3,15.0,0.3269,0.0,0.3678,0.5589,0.3076,0.9583,0.2844,0.0125
15,8,,20,3,20.0,0.3269,0.0,0.3803,0.5983,0.3329,0.969,0.2248,0.0102
15,8,,25,3,24.7,0.3269,0.0,0.3962,0.5992,0.3306,0.9751,0.2065,0.0098
15,8,,30,3,29.7,0.3269,0.0,0.4075,0.6101,0.3235,0.9794,0.1933,0.0134
15,15,,10,3,10.0,0.3264,0.0,0.355,0.5233,0.2909,0.9372,0.3245,0.0114
15,15,,15,3,14.7,0.3264,0.0,0.4051,0.5678,0.3252,0.958,0.2654,0.0136
15,15,,20,3,19.7,0.3264,0.0,0.4239,0.5929,0.3229,0.9691,0.2413,0.021
15,15,,25,3,24.7,0.3264,0.0,0.4226,0.5969,0.3219,0.9757,0.222,0.0187
15,15,,30,3,29.7,0.3264,0.0,0.44,0.6317,0.3422,0.98,0.187,0.0139
15,25,,10,3,10.0,0.3078,0.0,0.3821,0.5567,0.3031,0.9385,0.3232,0.0254
15,25,,15,3,15.0,0.3078,0.0,0.4171,0.58,0.3119,0.9601,0.2592,0.0176
15,25,,20,3,19.7,0.3078,0.0,0.4355,0.6299,0.338,0.9699,0.2226,0.0132
15,25,,25,3,24.7,0.3078,0.0,0.4551,0.6539,0.3372,0.9763,0.2425,0.0174
15,25,,30,3,29.7,0.3078,0.0,0.4698,0.6701,0.3458,0.9805,0.215,0.0247
15,40,,10,3,10.0,0.302,0.0,0.3971,0.5883,0.3336,0.9395,0.2898,0.0147
15,40,,15,3,15.0,0.302,0.0,0.4208,0.62,0.3345,0.961,0.2459,0.0087
15,40,,20,3,20.0,0.302,0.0,0.4553,0.6542,0.3496,0.9712,0.2455,0.0307
15,40,,25,3,24.7,0.302,0.0,0.4878,0.6712,0.3614,0.9768,0.2989,0.0224
15,40,,30,3,29.3,0.302,0.0,0.5026,0.6762,0.3537,0.9808,0.3305,0.0681
20,8,,10,3,10.0,0.356,0.0,0.3497,0.445,0.2304,0.9368,0.3831,0.0074
20,8,,15,3,15.0,0.356,0.0,0.3746,0.5133,0.2793,0.9584,0.2919,0.0144
