strategy,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
off,42,111,0.3134237699939259,0.3134237699939259,29,0.5778199368233813,0.8068965517241379,0.4808656823022184,0.9870062829674077
c-tf-idf,42,111,0.3134237699939259,0.0,30,0.47307965531029705,0.635,0.34837818542975285,0.9802106197375092
embeddings,42,111,0.3134237699939259,0.0,30,0.4597096527906191,0.6116666666666667,0.3317791752667672,0.9799530812791598
probabilities,42,111,0.3134237699939259,0.0,30,0.47452177634520537,0.5966666666666667,0.3137850237566262,0.9799413617285286
distributions,42,111,0.3134237699939259,0.0,30,0.4716987643150245,0.6266666666666667,0.3472664451368235,0.9801961888312669
off,123,110,0.34156711884996965,0.34156711884996965,29,0.5660688104264524,0.8068965517241379,0.493643675959516,0.9877310091341353
c-tf-idf,123,110,0.34156711884996965,0.0,30,0.4338275142374054,0.66,0.3608085097931676,0.9803418227144473
embeddings,123,110,0.34156711884996965,0.0,30,0.41514678644817177,0.65,0.3350050931910292,0.9800775585953687
probabilities,123,110,0.34156711884996965,0.0,30,0.4239500616180444,0.6316666666666667,0.32200378913418465,0.9800848876918444
distributions,123,110,0.34156711884996965,0.0,30,0.42661425324845154,0.6583333333333333,0.36032854002382125,0.9803353705466831
off,456,117,0.32435715731929543,0.32435715731929543,29,0.5460007297673777,0.8,0.4752587885354219,0.9871187424101283
c-tf-idf,456,117,0.32435715731929543,0.0,29,0.41314454973416487,0.6,0.3174088182229235,0.9793349697483598
embeddings,456,117,0.32435715731929543,0.0,29,0.42112342431220867,0.5862068965517241,0.3030365358819087,0.9791737964920626
probabilities,456,117,0.32435715731929543,0.0,29,0.41662172558505456,0.596551724137931,0.30856969150566504,0.979221022309417
distributions,456,117,0.32435715731929543,0.0,29,0.40924363447419654,0.596551724137931,0.3208860546993517,0.9793374417479644
off,789,109,0.3037052034824863,0.3037052034824863,29,0.5719698503291142,0.8068965517241379,0.5003965950634783,0.9869294994033612
c-tf-idf,789,109,0.3037052034824863,0.0,30,0.4338475745534201,0.645,0.3429239931241211,0.9802229454327167
embeddings,789,109,0.3037052034824863,0.0,30,0.4231675304907012,0.61,0.32063073093854005,0.9798437274090843
probabilities,789,109,0.3037052034824863,0.0,30,0.39823420546525273,0.5883333333333334,0.30286883702733386,0.9798720929347513
distributions,789,109,0.3037052034824863,0.0,30,0.4311633445963705,0.6483333333333333,0.3392223292250261,0.9802362429200412
off,1024,115,0.2974286292771816,0.2974286292771816,29,0.5521631399714655,0.7948275862068965,0.48413834413311624,0.9867993266621594
c-tf-idf,1024,115,0.2974286292771816,0.0,30,0.4299096780021023,0.6483333333333333,0.33793848447909447,0.9802522257506655
embeddings,1024,115,0.2974286292771816,0.0,30,0.4383430615829534,0.625,0.3133747122015528,0.980030767338476
probabilities,1024,115,0.2974286292771816,0.0,30,0.4277065969688178,0.6083333333333333,0.30493041975257534,0.9799445790663942
distributions,1024,115,0.2974286292771816,0.0,30,0.42865359281156146,0.6483333333333333,0.33835365834109077,0.9802476090262826
