n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,8,,eom,10,1,9.0,0.2146,0.2146,0.5206,0.8333,0.5874,0.9496,,
10,8,,eom,15,1,14.0,0.2146,0.2146,0.53,0.8179,0.5329,0.9682,,
10,8,,eom,20,1,19.0,0.2146,0.2146,0.5402,0.8079,0.5199,0.9768,,
10,8,,eom,25,1,24.0,0.2146,0.2146,0.5845,0.8083,0.5212,0.9818,,
10,8,,eom,30,1,29.0,0.2146,0.2146,0.5803,0.7914,0.4958,0.9851,,
10,8,,leaf,10,1,9.0,0.2909,0.2909,0.5369,0.85,0.5726,0.9523,,
10,8,,leaf,15,1,14.0,0.2909,0.2909,0.5387,0.8179,0.5135,0.9717,,
10,8,,leaf,20,1,19.0,0.2909,0.2909,0.5255,0.7816,0.477,0.9792,,
10,8,,leaf,25,1,24.0,0.2909,0.2909,0.5452,0.7833,0.4851,0.9835,,
10,8,,leaf,30,1,29.0,0.2909,0.2909,0.5646,0.7931,0.4932,0.9864,,
10,15,,eom,10,1,9.0,0.2106,0.2106,0.4976,0.8111,0.5085,0.9508,,
10,15,,eom,15,1,14.0,0.2106,0.2106,0.5237,0.8214,0.5023,0.9697,,
10,15,,eom,20,1,19.0,0.2106,0.2106,0.5493,0.8158,0.4863,0.9776,,
10,15,,eom,25,1,24.0,0.2106,0.2106,0.5441,0.8042,0.4798,0.9821,,
10,15,,eom,30,1,29.0,0.2106,0.2106,0.5367,0.7845,0.4605,0.9851,,
10,15,,leaf,10,1,9.0,0.2995,0.2995,0.5158,0.8056,0.5213,0.9554,,
10,15,,leaf,15,1,14.0,0.2995,0.2995,0.5293,0.7893,0.501,0.9721,,
10,15,,leaf,20,1,19.0,0.2995,0.2995,0.5328,0.7763,0.4889,0.9796,,
10,15,,leaf,25,1,24.0,0.2995,0.2995,0.5522,0.8062,0.503,0.9839,,
10,15,,leaf,30,1,29.0,0.2995,0.2995,0.573,0.8052,0.4909,0.9867,,
10,25,,eom,10,1,9.0,0.213,0.213,0.5279,0.8389,0.5791,0.9509,,
10,25,,eom,15,1,14.0,0.213,0.213,0.5344,0.8179,0.5304,0.9689,,
10,25,,eom,20,1,19.0,0.213,0.213,0.5399,0.7974,0.494,0.9773,,
10,25,,eom,25,1,24.0,0.213,0.213,0.5457,0.7854,0.4667,0.9821,,
10,25,,eom,30,1,29.0,0.213,0.213,0.5475,0.7707,0.4306,0.9852,,
10,25,,leaf,10,1,9.0,0.2859,0.2859,0.551,0.8833,0.6129,0.9543,,
10,25,,leaf,15,1,14.0,0.2859,0.2859,0.5232,0.8179,0.519,0.9719,,
10,25,,leaf,20,1,19.0,0.2859,0.2859,0.5396,0.7816,0.4751,0.9791,,
10,25,,leaf,25,1,24.0,0.2859,0.2859,0.5421,0.7771,0.4582,0.9836,,
10,25,,leaf,30,1,29.0,0.2859,0.2859,0.5586,0.7741,0.455,0.9865,,
10,30,,eom,10,1,9.0,0.2207,0.2207,0.4884,0.8389,0.5413,0.9516,,
10,30,,eom,15,1,14.0,0.2207,0.2207,0.5007,0.7929,0.4846,0.9695,,
10,30,,eom,20,1,19.0,0.2207,0.2207,0.5104,0.7684,0.4507,0.9775,,
10,30,,eom,25,1,24.0,0.2207,0.2207,0.5161,0.7542,0.4174,0.9822,,
10,30,,eom,30,1,29.0,0.2207,0.2207,0.5189,0.7586,0.4046,0.9853,,
10,30,,leaf,10,1,9.0,0.259,0.259,0.5131,0.85,0.5693,0.9541,,
10,30,,leaf,15,1,14.0,0.259,0.259,0.5177,0.8036,0.5012,0.9708,,
10,30,,leaf,20,1,19.0,0.259,0.259,0.5365,0.7895,0.4749,0.9785,,
10,30,,leaf,25,1,24.0,0.259,0.259,0.5457,0.7875,0.4672,0.983,,
10,30,,leaf,30,1,29.0,0.259,0.259,0.5504,0.7776,0.4357,0.9859,,
10,35,,eom,10,1,9.0,0.1764,0.1764,0.5376,0.8167,0.5373,0.945,,
10,35,,eom,15,1,14.0,0.1764,0.1764,0.5459,0.7857,0.48,0.9676,,
10,35,,eom,20,1,19.0,0.1764,0.1764,0.5442,0.7658,0.4417,0.9763,,
10,35,,eom,25,1,24.0,0.1764,0.1764,0.5307,0.7625,0.4184,0.9812,,
10,35,,eom,30,1,29.0,0.1764,0.1764,0.5415,0.7414,0.4004,0.9844,,
10,35,,leaf,10,1,9.0,0.2786,0.2786,0.5323,0.8556,0.5857,0.9552,,
10,35,,leaf,15,1,14.0,0.2786,0.2786,0.5371,0.8107,0.5071,0.9719,,
10,35,,leaf,20,1,19.0,0.2786,0.2786,0.5333,0.8,0.476,0.9793,,
10,35,,leaf,25,1,24.0,0.2786,0.2786,0.5483,0.7958,0.4488,0.9836,,
10,35,,leaf,30,1,29.0,0.2786,0.2786,0.5594,0.7793,0.4311,0.9865,,
10,40,,eom,10,1,9.0,0.1713,0.1713,0.5313,0.7889,0.5143,0.9469,,
10,40,,eom,15,1,14.0,0.1713,0.1713,0.5169,0.7536,0.4636,0.9672,,
10,40,,eom,20,1,19.0,0.1713,0.1713,0.5228,0.75,0.4348,0.976,,
10,40,,eom,25,1,24.0,0.1713,0.1713,0.5095,0.7521,0.4127,0.9811,,
