strategy,threshold,n_seeds,K,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
c-tf-idf,0.0,1,29.0,0.0,0.5217,0.6931,0.3699,0.9806,,
c-tf-idf,0.05,1,29.0,0.0071,0.5807,0.7638,0.4299,0.9813,,
c-tf-idf,0.1,1,29.0,0.1318,0.5983,0.7741,0.4483,0.9836,,
c-tf-idf,0.15,1,29.0,0.2539,0.6049,0.7948,0.4762,0.9862,,
c-tf-idf,0.2,1,29.0,0.3084,0.6101,0.7914,0.4821,0.9873,,
c-tf-idf,0.3,1,29.0,0.326,0.6099,0.7966,0.4851,0.9876,,
distributions,0.0,1,29.0,0.0,0.5194,0.6879,0.3685,0.9805,,
distributions,0.05,1,29.0,0.0,0.5223,0.7034,0.3742,0.9807,,
distributions,0.1,1,29.0,0.0034,0.5678,0.7603,0.4252,0.9813,,
distributions,0.15,1,29.0,0.0308,0.5752,0.769,0.4394,0.9816,,
distributions,0.2,1,29.0,0.0962,0.5825,0.7586,0.428,0.9827,,
distributions,0.3,1,29.0,0.2642,0.6089,0.7897,0.4706,0.9864,,
embeddings,0.0,1,29.0,0.0,0.5066,0.669,0.3442,0.9805,,
embeddings,0.2,1,29.0,0.0,0.5066,0.669,0.3442,0.9805,,
embeddings,0.3,1,29.0,0.0,0.5066,0.669,0.3442,0.9805,,
embeddings,0.4,1,29.0,0.0,0.5066,0.669,0.3442,0.9805,,
embeddings,0.5,1,29.0,0.0168,0.567,0.75,0.413,0.9816,,
embeddings,0.6,1,29.0,0.1634,0.5895,0.7741,0.4516,0.9845,,
embeddings,0.7,1,29.0,0.3104,0.6101,0.7897,0.4791,0.9874,,
embeddings,0.8,1,29.0,0.3274,0.6099,0.7966,0.4843,0.9877,,
embeddings,0.9,1,29.0,0.3274,0.6099,0.7966,0.4843,0.9877,,
probabilities,0.0,1,29.0,0.0,0.4893,0.6724,0.3475,0.9806,,
probabilities,0.05,1,29.0,0.1029,0.5776,0.7552,0.4304,0.9835,,
probabilities,0.1,1,29.0,0.2395,0.5981,0.7845,0.4624,0.9861,,
probabilities,0.15,1,29.0,0.2901,0.6005,0.7862,0.4687,0.987,,
probabilities,0.2,1,29.0,0.3063,0.6069,0.7914,0.4771,0.9873,,
probabilities,0.3,1,29.0,0.3197,0.6086,0.7948,0.4813,0.9875,,
