category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ambiente,0,2,0,4,1,223,4,27,2,0,2,0,0,63,20,35,0,0,1,0,0,1,0,0
ciencia,2,50,3,17,0,1,1,157,169,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0
cotidiano,37,26,30,26,2,13,100,3,1,87,2,0,2,0,32,2,2,0,18,0,0,0,0,3
educacao,13,279,2,12,1,1,8,0,0,0,0,23,72,0,0,0,0,0,0,0,0,0,0,0
equilibrioesaude,9,7,8,290,0,2,4,9,0,32,0,1,0,0,0,0,34,0,0,0,0,0,0,0
esporte,17,1,2,2,334,0,4,0,0,9,0,0,0,0,0,1,0,10,0,15,1,0,0,0
ilustrada,15,41,329,2,0,1,0,0,2,3,3,0,0,0,0,0,0,0,1,0,0,0,1,1
mercado,19,29,0,6,0,4,1,0,1,30,145,106,0,1,1,1,0,12,0,0,0,2,1,7
mundo,200,10,7,11,2,2,90,1,2,5,4,3,0,2,1,3,1,7,1,0,13,9,10,0
poder,300,9,4,10,0,8,3,0,0,9,1,3,0,0,0,0,0,0,0,1,0,0,0,0
