strategy,threshold,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
c-tf-idf,0.0,42,187,0.2794234479627738,0.0,25,0.465803506557917,0.908,0.7227824890194371,0.9796015679640014
c-tf-idf,0.05,42,187,0.2794234479627738,0.132448076268301,24,0.5249272584130443,0.9020833333333333,0.7616790667560869,0.982555662022753
c-tf-idf,0.1,42,187,0.2794234479627738,0.22835092498013845,24,0.5597764364293264,0.9041666666666667,0.766897802156706,0.9848655206939672
c-tf-idf,0.15,42,187,0.2794234479627738,0.25865395528316876,24,0.5818632728924694,0.9,0.7698561123108424,0.9852914811572898
c-tf-idf,0.2,42,187,0.2794234479627738,0.2679605039155601,24,0.5946721998405685,0.9020833333333333,0.7715237399858585,0.9854112885612111
c-tf-idf,0.3,42,187,0.2794234479627738,0.27511065713312904,24,0.5732434862490787,0.9020833333333333,0.7741583091626533,0.9854510834224763
embeddings,0.0,42,187,0.2794234479627738,0.0,25,0.44076436643215494,0.872,0.6871289969066043,0.9792276818130966
embeddings,0.2,42,187,0.2794234479627738,0.0,25,0.44076436643215494,0.872,0.6871289969066043,0.9792276818130966
embeddings,0.3,42,187,0.2794234479627738,0.0,25,0.44076436643215494,0.872,0.6871289969066043,0.9792276818130966
embeddings,0.4,42,187,0.2794234479627738,0.0,25,0.44076436643215494,0.872,0.6871289969066043,0.9792276818130966
embeddings,0.5,42,187,0.2794234479627738,0.00045397798206786973,24,0.5728541018722583,0.9041666666666667,0.757321853787365,0.9786402541051143
embeddings,0.6,42,187,0.2794234479627738,0.007150153217568948,24,0.5461416798512263,0.90625,0.7604136835946466,0.9788709896647968
embeddings,0.7,42,187,0.2794234479627738,0.053569401884008626,24,0.5528119300697231,0.9020833333333333,0.7645665237318319,0.9801842319679004
embeddings,0.8,42,187,0.2794234479627738,0.2045170809215753,24,0.5730126771351575,0.8979166666666667,0.7676801055589934,0.983994076785144
embeddings,0.9,42,187,0.2794234479627738,0.2784019975031211,24,0.5546706303122818,0.9020833333333333,0.7737311443596914,0.985658980472965
probabilities,0.0,42,187,0.2794234479627738,0.0,25,0.435666101737339,0.894,0.6891564119435171,0.9796657383382162
probabilities,0.05,42,187,0.2794234479627738,0.17625695153785043,24,0.5776376424703233,0.8916666666666667,0.7618463674990489,0.9827083085472177
probabilities,0.1,42,187,0.2794234479627738,0.25411417546249004,24,0.549994649915314,0.8916666666666667,0.7649982805842911,0.9848020322008688
probabilities,0.15,42,187,0.2794234479627738,0.27125184428555216,24,0.5508509126972975,0.9,0.7695064823094273,0.9851649598232557
probabilities,0.2,42,187,0.2794234479627738,0.2748836681420951,24,0.5500927036648985,0.9,0.7712776258095548,0.9852883073611908
probabilities,0.3,42,187,0.2794234479627738,0.27783452502553624,24,0.5522733804626068,0.9,0.770833996995156,0.9853659074782118
distributions,0.0,42,187,0.2794234479627738,0.0,25,0.4771536150085261,0.908,0.7191766858194982,0.9797254724220756
distributions,0.05,42,187,0.2794234479627738,0.02337986607649529,24,0.5517456676168352,0.9125,0.7550680188716598,0.9797248504489442
distributions,0.1,42,187,0.2794234479627738,0.10293950743388945,24,0.5487374210108921,0.9145833333333333,0.7627993008589818,0.9814999260277961
distributions,0.15,42,187,0.2794234479627738,0.1627511065713313,24,0.5724472145407847,0.90625,0.766770909041688,0.9827847614514625
distributions,0.2,42,187,0.2794234479627738,0.19986380660537964,24,0.5678993546039413,0.9,0.759243697914167,0.9837071358176219
distributions,0.3,42,187,0.2794234479627738,0.23958688003631823,24,0.5738051503137174,0.9041666666666667,0.7719747752533451,0.9847965422336632
