n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,8,5.0,eom,10,1,9.0,0.2674,0.2674,0.6456,0.9611,0.8843,0.96,,
10,8,5.0,eom,15,1,14.0,0.2674,0.2674,0.559,0.9321,0.8336,0.976,,
10,8,5.0,eom,20,1,19.0,0.2674,0.2674,0.6447,0.9263,0.8193,0.9817,,
10,8,5.0,eom,25,1,24.0,0.2674,0.2674,0.5942,0.9062,0.7721,0.9861,,
10,8,5.0,eom,30,1,29.0,0.2674,0.2674,0.5578,0.8879,0.741,0.9886,,
10,8,5.0,leaf,10,1,9.0,0.386,0.386,0.6695,0.9444,0.858,0.9649,,
10,8,5.0,leaf,15,1,14.0,0.386,0.386,0.6861,0.9357,0.8378,0.98,,
10,8,5.0,leaf,20,1,19.0,0.386,0.386,0.6278,0.9316,0.8186,0.985,,
10,8,5.0,leaf,25,1,24.0,0.386,0.386,0.6173,0.9062,0.7841,0.988,,
10,8,5.0,leaf,30,1,29.0,0.386,0.386,0.6001,0.8966,0.7526,0.9903,,
10,8,15.0,eom,10,1,9.0,0.3011,0.3011,0.5596,0.9667,0.8929,0.9623,,
10,8,15.0,eom,15,1,14.0,0.3011,0.3011,0.5448,0.9357,0.836,0.977,,
10,8,15.0,eom,20,1,19.0,0.3011,0.3011,0.5767,0.8947,0.7627,0.9836,,
10,8,15.0,eom,25,1,24.0,0.3011,0.3011,0.6338,0.9,0.7587,0.9871,,
10,8,15.0,eom,30,1,29.0,0.3011,0.3011,0.6271,0.8776,0.7342,0.9891,,
10,8,15.0,leaf,10,1,9.0,0.446,0.446,0.5067,0.9444,0.8553,0.9674,,
10,8,15.0,leaf,15,1,14.0,0.446,0.446,0.5492,0.9321,0.8338,0.9818,,
10,8,15.0,leaf,20,1,19.0,0.446,0.446,0.5214,0.9237,0.797,0.987,,
10,8,15.0,leaf,25,1,24.0,0.446,0.446,0.5654,0.8917,0.7527,0.9897,,
10,8,15.0,leaf,30,1,29.0,0.446,0.446,0.609,0.8879,0.7384,0.9915,,
10,8,,eom,10,1,9.0,0.2794,0.2794,0.6042,0.9222,0.8492,0.9592,,
