alpha,eta,cv,perplexity
0.1,,0.3883071878305945,1308.3448396019583
symmetric,,0.386724745026353,1233.2513349886747
0.1,0.01,0.3853998043765245,1741.5353222962292
0.1,0.1,0.3770487821279581,1249.5988390412563
symmetric,0.1,0.3767993541659982,1170.3070525333633
0.01,,0.37630739429999255,1242.48575562613
symmetric,0.01,0.3751985146926275,1657.0990769690543
0.01,0.01,0.37462827838443047,1678.6074889278452
0.5,0.1,0.3725539627192745,1524.449927511814
asymmetric,0.1,0.36469374338943367,1186.3107054038544
0.5,0.01,0.3638649247447403,2342.6119998757963
0.5,,0.361786642934017,1607.6708669719296
0.01,0.1,0.35992923019848777,1173.8203437247232
asymmetric,0.01,0.3547180496620771,1635.390172683923
asymmetric,,0.34984729753889166,1254.0428425612636
