doc_id,topic_id
0,11
1,18
2,1
3,14
4,11
5,0
6,11
7,13
8,19
9,11
10,18
11,11
12,11
13,1
14,9
15,14
16,18
17,6
18,12
19,13
20,0
21,18
22,18
23,18
24,11
25,4
26,11
27,1
28,0
29,0
30,17
31,11
32,18
33,5
34,18
35,18
36,18
37,18
38,13
39,9
40,11
41,18
42,15
43,18
44,7
45,11
46,6
47,1
48,18
49,11
50,18
51,11
52,0
53,1
54,0
55,17
56,11
57,18
58,0
59,1
60,0
61,19
62,18
63,18
64,0
65,18
66,9
67,18
68,13
69,7
70,18
71,0
72,18
73,19
74,0
75,9
76,18
77,1
78,11
79,11
80,18
81,13
82,18
83,18
84,18
85,7
86,18
87,0
88,0
89,0
90,4
91,11
92,10
93,4
94,1
95,18
96,11
97,11
98,0
99,0
100,7
101,0
102,1
103,18
104,19
105,1
106,18
107,13
108,1
109,18
110,15
111,13
112,18
113,0
114,6
115,7
116,0
117,13
118,1
119,19
120,11
121,11
122,18
123,0
124,10
125,6
126,18
127,0
128,1
129,0
130,18
131,1
132,6
133,13
134,1
135,18
136,11
137,11
138,18
139,9
140,18
141,0
142,18
143,15
144,18
145,10
146,0
147,18
148,11
149,1
150,18
151,18
152,0
153,0
154,11
155,18
156,11
157,18
158,0
159,10
160,18
161,18
162,11
163,7
164,11
165,7
166,0
167,14
168,18
169,18
170,0
171,11
172,0
173,11
174,18
175,2
176,11
177,18
178,0
179,4
180,6
181,18
182,0
183,18
184,18
185,18
186,18
187,18
188,1
189,12
190,13
191,18
192,18
193,19
194,18
195,19
196,18
197,18
198,11
199,0
200,11
201,19
202,1
203,0
204,6
205,19
206,18
207,11
208,14
209,18
210,0
211,10
212,5
213,1
214,18
215,0
216,2
217,4
218,1
219,18
220,14
221,3
222,18
223,18
224,18
225,18
226,18
227,18
228,1
229,18
230,18
231,19
232,19
233,11
234,1
235,1
236,13
237,2
238,9
239,18
240,19
241,8
242,1
243,11
244,11
245,9
246,10
247,18
248,19
249,18
250,18
251,1
252,6
253,9
254,19
255,13
256,18
257,1
258,18
259,11
260,18
261,18
262,15
263,18
264,6
265,0
266,0
267,0
268,0
269,18
270,0
271,18
272,0
273,10
274,6
275,19
276,18
277,18
278,0
279,6
280,1
281,18
282,18
283,0
284,1
285,11
286,19
287,11
288,15
289,18
290,7
291,18
292,6
293,8
294,18
295,18
296,6
297,18
298,6
299,18
300,10
301,12
302,1
303,0
304,4
305,1
306,18
307,18
308,1
309,0
310,10
311,4
312,0
313,0
314,6
315,6
316,4
317,5
318,18
319,4
320,4
321,18
322,9
323,0
324,1
325,11
326,1
327,18
328,11
329,6
330,9
331,11
332,0
333,19
334,6
335,18
336,9
337,18
338,11
339,10
340,0
341,0
342,6
343,11
344,1
345,18
346,0
347,18
348,0
349,10
350,18
351,0
352,6
353,11
354,13
355,18
356,6
357,18
358,18
359,18
360,0
361,1
362,18
363,1
364,1
365,18
366,18
367,6
368,18
369,0
370,1
371,18
372,6
373,0
374,0
375,19
376,18
377,6
378,0
379,7
380,13
381,18
382,18
383,0
384,11
385,6
386,6
387,18
388,11
389,4
390,9
391,11
392,6
393,11
394,18
395,18
396,18
397,2
398,9
399,18
400,7
401,18
402,0
403,6
404,11
405,18
406,6
407,0
408,18
409,0
410,1
411,0
412,18
413,11
414,2
415,17
416,11
417,0
418,1
419,11
420,0
421,9
422,12
423,19
424,6
425,4
426,0
427,8
428,18
429,1
430,6
431,3
432,19
433,18
434,18
435,2
436,4
437,18
438,17
439,19
440,18
441,19
442,0
443,18
444,18
445,6
446,5
447,18
448,13
449,0
450,9
451,11
452,11
453,0
454,2
455,4
456,0
457,18
458,18
459,0
460,18
461,9
462,12
463,7
464,18
465,13
466,18
467,11
468,0
469,11
470,6
471,15
472,6
473,0
474,11
475,18
476,1
477,18
478,18
479,15
480,18
481,19
482,18
483,0
484,12
485,6
486,0
487,18
488,12
489,9
490,11
491,1
492,11
493,18
494,11
495,0
496,13
497,18
498,18
499,18
500,0
501,9
502,10
503,4
504,2
505,13
506,6
507,9
508,19
509,12
510,4
511,14
512,19
513,18
514,18
515,18
516,17
517,7
518,11
519,11
520,13
521,11
522,17
523,0
524,11
525,0
526,18
527,10
528,6
529,0
530,18
531,11
532,17
533,19
534,19
535,0
536,6
537,8
538,18
539,0
540,11
541,18
542,18
543,11
544,2
545,7
546,16
547,15
548,1
549,11
550,4
551,7
552,1
553,18
554,11
555,1
556,0
557,7
558,6
559,11
560,18
561,18
562,18
563,18
564,19
565,13
566,18
567,18
568,18
569,18
570,4
571,18
572,4
573,18
574,2
575,0
576,11
577,19
578,18
579,0
580,7
581,6
582,1
583,11
584,18
585,18
586,18
587,6
588,10
589,18
590,15
591,0
592,18
593,0
594,1
595,0
596,1
597,18
598,18
599,12
600,15
601,0
602,18
603,11
604,6
605,14
606,1
607,18
608,13
609,18
610,18
611,19
612,11
613,1
614,18
615,18
616,0
617,18
618,18
619,8
620,11
621,18
622,1
623,18
624,18
625,18
626,4
627,1
628,11
629,12
630,19
631,11
632,6
633,6
634,19
635,11
636,9
637,18
638,19
639,1
640,11
641,0
642,7
643,18
644,11
645,18
646,17
647,7
648,15
649,16
650,0
651,0
652,6
653,18
654,11
655,18
656,18
657,0
658,6
659,19
660,18
661,18
662,0
663,0
664,19
665,1
666,0
667,9
668,0
669,11
670,11
671,12
672,6
673,11
674,19
675,10
676,1
677,0
678,6
679,18
680,7
681,5
682,18
683,13
684,18
685,1
686,4
687,19
688,13
689,0
690,1
691,5
692,0
693,19
694,11
695,18
696,18
697,11
698,11
699,18
700,18
701,11
702,0
703,18
704,18
705,0
706,19
707,15
708,0
709,18
710,0
711,0
712,18
713,17
714,18
715,0
716,0
717,14
718,11
719,6
720,0
721,11
722,0
723,13
724,11
725,11
726,6
727,18
728,6
729,0
730,6
731,18
732,11
733,2
734,11
735,18
736,11
737,0
738,18
739,7
740,18
741,18
742,10
743,0
744,2
745,0
746,18
747,0
748,10
749,9
750,19
751,1
752,11
753,18
754,0
755,11
756,18
757,0
758,0
759,0
760,1
761,1
762,0
763,18
764,11
765,0
766,0
767,11
768,15
769,1
770,18
771,0
772,18
773,15
774,6
775,1
776,11
777,6
778,11
779,11
780,0
781,18
782,6
783,0
784,18
785,18
786,1
787,1
788,9
789,18
790,0
791,11
792,18
793,18
794,18
795,18
796,8
797,0
798,0
799,2
800,1
801,18
802,19
803,15
804,14
805,18
806,0
807,19
808,6
809,0
810,11
811,1
812,0
813,0
814,4
815,10
816,9
817,13
818,9
819,3
820,11
821,0
822,18
823,0
824,18
825,10
826,9
827,11
828,18
829,1
830,18
831,6
832,18
833,14
834,18
835,0
836,0
837,11
838,13
839,12
840,18
841,18
842,4
843,0
844,0
845,18
846,16
847,11
848,11
849,18
850,0
851,18
852,18
853,11
854,2
855,0
856,0
857,1
858,10
859,11
860,11
861,9
862,11
863,11
864,18
865,18
866,4
867,18
868,11
869,11
870,11
871,18
872,11
873,18
874,10
875,18
876,19
877,18
878,11
879,12
880,11
881,11
882,11
883,18
884,2
885,18
886,11
887,18
888,0
889,13
890,4
891,18
892,18
893,18
894,13
895,11
896,6
897,6
898,0
899,18
900,7
901,8
902,11
903,0
904,2
905,13
906,18
907,9
908,18
909,1
910,18
911,16
912,9
913,11
914,13
915,18
916,14
917,18
918,14
919,14
920,18
921,6
922,12
923,19
924,19
925,0
926,18
927,19
928,18
929,13
930,0
931,9
932,2
933,0
934,11
935,19
936,6
937,1
938,18
939,18
940,14
941,11
942,7
943,18
944,1
945,6
946,15
947,0
948,18
949,3
950,11
951,0
952,7
953,0
954,14
955,4
956,13
957,4
958,2
959,9
960,0
961,18
962,18
963,15
964,18
965,18
966,18
967,18
968,9
969,1
970,11
971,11
972,13
973,0
974,18
975,11
976,0
977,14
978,4
979,0
980,18
981,14
982,11
983,12
984,18
985,7
986,11
987,18
988,0
989,18
990,18
991,15
992,18
993,10
994,1
995,0
996,12
997,13
998,18
999,18
1000,4
1001,11
1002,1
1003,18
1004,2
1005,6
1006,6
1007,6
1008,0
1009,0
1010,18
1011,6
1012,18
1013,0
1014,6
1015,11
1016,0
1017,0
1018,0
1019,18
1020,0
1021,0
1022,0
1023,18
1024,3
1025,11
1026,0
1027,12
1028,19
1029,18
1030,9
1031,11
1032,4
1033,9
1034,19
1035,7
1036,18
1037,9
1038,18
1039,16
1040,18
1041,18
1042,18
1043,0
1044,11
1045,11
1046,18
1047,18
1048,1
1049,11
1050,11
1051,18
1052,12
1053,1
1054,2
1055,0
1056,11
1057,0
1058,18
1059,19
1060,2
1061,14
1062,18
1063,19
1064,16
1065,18
1066,6
1067,18
1068,18
1069,11
1070,17
1071,18
1072,0
1073,19
1074,18
1075,1
1076,4
1077,19
1078,18
